URL,Price,Component_Type,_Best Seller Ranking,Model_Brand,Model_Processors Type,Model_Series,Model_Name,Model_Model,Details_CPU Socket TypeCPU Socket Type,Details_Core NameCore Name,Details_# of Cores# of Cores,Details_# of Threads# of Threads,Details_Operating FrequencyOperating Frequency,Details_Max Turbo FrequencyMax Turbo Frequency,Details_L1 CacheL1 Cache,Details_L2 CacheL2 Cache,Details_L3 CacheL3 Cache,Details_Manufacturing TechManufacturing Tech,Details_Instruction SetInstruction Set,Details_Memory Types,Details_Memory Channel,Details_Max Memory Size,Details_Integrated Graphics,Details_Graphics Base Frequency,Details_PCI Express RevisionPCI Express Revision,Details_Max Number of PCI Express LanesMax Number of PCI Express Lanes,Details_Thermal Design PowerThermal Design Power,Details_Cooling Device,Details_Compatible Desktop Chipsets,Details_Operating System Supported,Details_Advanced Technologies,Additional Information_Date First Available,Details_Max Turbo Power,Details_Hyper-Threading SupportHyper-Threading Support,Details_ECC Memory,Details_Max Memory Bandwidth,Details_Virtualization Technology SupportVirtualization Technology Support,Details_Graphics Max Dynamic Frequency,Details_Scalability,Details_PCI Express ConfigurationsPCI Express Configurations,Details_Security & Reliability,Details_Multimedia Instruction,Details_AI Features,CPU Socket Type_CPU Socket Type,Details_Core Name,Details_Multi-Core,Details_Operating Frequency,Details_L3 Cache,Details_Manufacturing Tech,Details_64-Bit Support64-Bit Support,Details_Hyper-Threading Support,Details_Virtualization Technology Support,Details_Thermal Design Power,Details_CPU Socket Type,Details_# of Cores,Details_# of Threads,Details_Max Turbo Frequency,Details_L2 Cache,Details_Instruction Set,Details_PCI Express Revision,Details_Max Number of PCI Express Lanes
https://www.newegg.com/amd-ryzen-7-9800x3d-ryzen-7-9000-series-granite-ridge-zen-5-socket-am5-processor/p/N82E16819113877,472,CPU,#1 in Desktop CPU Processor,AMD,Desktop,Ryzen 7 9000 Series,Ryzen 7 9800X3D,100-100001084WOF,Socket AM5,Granite Ridge Zen 5,8-Core,16-Threads,4.7 GHz,5.2 GHz,640KB,8MB,96MB,TSMC 4nm FinFET,64-Bit,DDR5 5600 / DDR5 6000 / DDR5 6400 / DDR5 7600 / DDR5 8200 / DDR5 8400 / DDR5 8600 / DDR5 8800,2,192 GB,AMD Radeon Graphics,2200 MHz,5.0,"28, 24 (Total/Usable)",120W,Cooling device not included - Processor Only,"AMD X870E, X870, B840, B850 and existing X670/E, B650/E and A620-based motherboards, with BIOS updates","Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","AMD EXPO Technology , AMD Ryzen Technologies","November 07, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/amd-ryzen-9-9950x-4-3-ghz-16-core-am5-170w-processor-100-100001277wof/p/N82E16819113841,519,CPU,#11 in Desktop CPU Processor,AMD,Desktop,Ryzen 9 9000 Series,Ryzen 9 9950X,100-100001277WOF,Socket AM5,Granite Ridge,16-Core,32-Threads,4.3 GHz,Up to 5.7 GHz,1MB,16MB,64MB,Zen 5 - TSMC 4nm FinFET,64-Bit,DDR5 5600,2,192 GB,AMD Radeon Graphics,2200 MHz,5.0,24/28 (Usable/Total),170W,Cooling device not included - Processor Only,AMD A620 / AMD B650 / AMD B650E / AMD B850 / AMD X670 / AMD X670E / AMD X870 / AMD X870E,RHEL / Ubuntu / Windows 10 / Windows 11,"AMD EXPO Technology , AMD Ryzen Technologies","August 15, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/amd-ryzen-9-9900x-ryzen-9-9000-series-granite-ridge-socket-am5-processor/p/N82E16819113842,377,CPU,#9 in Desktop CPU Processor,AMD,Desktop,Ryzen 9 9000 Series,Ryzen 9 9900X,100-100000662WOF,Socket AM5,Granite Ridge,12-Core,24-Threads,4.4 GHz,Up to 5.6 GHz,768KB,12MB,64MB,Zen 5 TSMC 4nm FinFET,64-Bit,DDR5 5600,2,192 GB,AMD Radeon Graphics,2200 MHz,5.0,24/28 (Usable/Total),120W,Cooling device not included - Processor Only,AMD A620 / AMD B650 / AMD B650E / AMD B850 / AMD X670 / AMD X670E / AMD X870 / AMD X870E,RHEL / Ubuntu / Windows 10 / Windows 11,"AMD EXPO Technology, AMD Ryzen Technologies","August 15, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/intel-core-ultra-5-245k-arrow-lake-lga-1851-processor/p/N82E16819118508,279,CPU,#64 in Desktop CPU Processor,Intel,Desktop,Core Ultra 5 (Series 2),Core Ultra 5 245K,BX80768245K,LGA 1851,Arrow Lake,14-Core (6P+8E),14-Threads,,P-core Max Turbo Frequency: Up to 5.2 GHz E-core Max Turbo Frequency: Up to 4.6 GHz,,26MB,24MB,,64-Bit,DDR5 6400,2,192 GB,Intel Graphics,,5.0 / 4.0,24,125W,Cooling device not included - Processor Only,,,,"October 10, 2024",159W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/amd-ryzen-5-9600x-ryzen-5-9000-series-granite-ridge-socket-am5-processor/p/N82E16819113844,207,CPU,#2 in Desktop CPU Processor,AMD,Desktop,Ryzen 5 9000 Series,Ryzen 5 9600X,100-100001405WOF,Socket AM5,Granite Ridge,6-Core,12-Threads,3.9 GHz,Up to 5.4 GHz,384KB,6MB,32MB,Zen 5 - TSMC 4nm FinFET,64-Bit,DDR5 5600,2,192 GB,AMD Radeon Graphics,2200 MHz,5.0,24/28 (Usable/Total),65W,Cooling device not included - Processor Only,AMD A620 / AMD B650 / AMD B650E / AMD B850 / AMD X670 / AMD X670E / AMD X870 / AMD X870E,RHEL / Ubuntu / Windows 10 / Windows 11,"AMD EXPO Technology, AMD Ryzen Technologies","August 08, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/intel-core-ultra-5-245kf-arrow-lake-lga-1851-processor/p/N82E16819118509,284,CPU,#73 in Desktop CPU Processor,Intel,Desktop,Core Ultra 5 (Series 2),Core Ultra 5 245KF,BX80768245KF,LGA 1851,Arrow Lake,14-Core (6P+8E),14-Threads,,P-core Max Turbo Frequency: Up to 5.2 GHz E-core Max Turbo Frequency: Up to 4.6 GHz,,26MB,24MB,,64-Bit,DDR5 6400,2,192 GB,None Integrated Graphics,,5.0 / 4.0,24,125W,Cooling device not included - Processor Only,,,,"October 10, 2024",159W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/intel-core-i9-14900k-core-i9-14th-gen-raptor-lake-lga-1700-desktop-processor/p/N82E16819118462,439,CPU,#14 in Desktop CPU Processor,Intel,Desktop,Core i9 14th Gen,Core i9-14900K,BX8071514900K,LGA 1700,Raptor Lake,24-Core (8P+16E),32-Threads,Performance-core Base Frequency: 3.2 GHz Efficient-core Base Frequency: 2.4 GHz,Intel Thermal Velocity Boost Frequency: Up to 6.0 GHz Intel Turbo Boost Max Technology 3.0 Frequency: Up to 5.8 GHz P-core Max Turbo Frequency: Up to 5.6 GHz E-core Max Turbo Frequency: Up to 4.4 GHz,,32MB,36MB,Intel 7,64-Bit,DDR4 3200 / DDR5 5600,2,192 GB,Intel UHD Graphics 770,300 MHz,5.0 / 4.0,20,125W,Cooling device not included - Processor Only,Intel H610 / Intel H670 / Intel B660 / Intel Q670 / Intel W680 / Intel Z690 / Intel H770 / Intel B760 / Intel Z790 * BIOS update may be required when used with some old chipset motherboard,"Linux / Windows 10 (22H2, 21H2) / Windows 11 (22H2, 21H2)","Intel Gaussian & Neural Accelerator: 3.0 Intel Thread Director Intel Deep Learning Boost (Intel DL Boost) on CPU Intel Speed Shift Technology Intel Adaptive Boost Technology Intel Thermal Velocity Boost Intel Turbo Boost Max Technology 3.0 Intel Turbo Boost Technology: 2.0 Intel Hyper-Threading Technology Intel 64 Instruction Set: 64-bit Instruction Set Extensions: Intel SSE4.1, Intel SSE4.2, Intel AVX2 Idle States Enhanced Intel SpeedStep Technology Thermal Monitoring Technologies Intel Volume Management Device (VMD)","October 16, 2023",253W,Yes,Supported,89.6 GB/s,Yes,1.65 GHz,1S Only,"Up to 1x16+4, 2x8+4",Intel Standard Manageability (ISM) Intel Control-Flow Enforcement Technology Intel AES New Instructions Secure Key Intel OS Guard Execute Disable Bit Intel Boot Guard Mode-based Execute Control (MBEC) Intel Virtualization Technology (VT-x) Intel Virtualization Technology for Directed I/O (VT-d) Intel VT-x with Extended Page Tables (EPT),,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/amd-ryzen-9-9900x3d-ryzen-9-9000-series-granite-ridge-socket-am5-processor/p/N82E16819113886,599,CPU,#28 in Desktop CPU Processor,AMD,Desktop,Ryzen 9 9000 Series,Ryzen 9 9900X3D,100-100001368WOF,Socket AM5,Granite Ridge (Zen 5),12-Core,24-Threads,4.4 GHz,Up to 5.5 GHz,960KB,12MB,128MB,TSMC 4nm FinFET,64-Bit,Max Memory Speed: - 2x1R DDR5-5600 - 2x2R DDR5-5600 - 4x1R DDR5-3600 - 4x2R DDR5-3600,,192 GB,AMD Radeon Graphics,2200 MHz,5.0,28 Total / 24 Usable,120W,Cooling device not included - Processor Only,AMD A620 / AMD B650 / AMD B650E / AMD B840 / AMD B850 / AMD X670 / AMD X670E / AMD X870 / AMD X870E,"Windows 11 - 64-Bit Edition , Windows 10 - 64-Bit Edition , RHEL x86 64-Bit , Ubuntu x86 64-Bit","AMD EXPO Technology, AMD Ryzen Technologies","March 12, 2025",,,Yes (Requires mobo support),,,,,,,"AES, AMD-V, AVX512, AVX2, AVX, FMA3, MMX-plus, SHA, SSE2, SSE4.2, SSE4A, SSE4.1, SSE3, SSSE3, SSE, x86-64",,,,,,,,,,,,,,,,,,,
https://www.newegg.com/amd-ryzen-7-8700f-ryzen-7-8000-series-phoenix-zen-4-socket-am5/p/N82E16819113825,259,CPU,#56 in Desktop CPU Processor,AMD,Desktop,Ryzen 7 8000 Series,Ryzen 7 8700F,100-100001590BOX,Socket AM5,,8-Core,16-Threads,4.1 GHz,Up to 5 GHz,,8MB,16MB,TSMC 4nm FinFET,64-Bit,DDR5 5200,2,256 GB,None Integrated Graphics,,4.0 / 3.0,16/20 (Usable/Total),65W,AMD Wraith Stealth,,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit",AMD Ryzen AI Available when paired with a compatible Radeon graphics card with AI acceleration,"May 14, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/amd-ryzen-7-8700g-ryzen-7-8000-g-series-phoenix-zen-4-socket-am5/p/N82E16819113811,309,CPU,#46 in Desktop CPU Processor,AMD,Desktop,Ryzen 7 8000-G Series,Ryzen 7 8700G,100-100001236BOX,Socket AM5,,8-Core,16-Threads,4.2 GHz,5.1 GHz,,8MB,16MB,4nm,64-Bit,DDR5 5200,2,256 GB,AMD Radeon 780M,,4.0 / 3.0,,65W,Wraith Spire Cooler,,Windows 11 - 64-Bit Edition Windows 10 - 64-Bit Edition RHEL x86 64-Bit Ubuntu x86 64-Bit *Operating System (OS) support will vary by manufacturer.,,"January 31, 2024",,,,,,2.9 GHz,,,,,Dedicated AI Engine AI-Optimized Radeon Graphics Engine Dedicated AI engine designed for AI processing efficiency,,,,,,,,,,,,,,,,,,
