URL,Price,Component_Type,_Best Seller Ranking,Model_Brand,Model_Series,Model_Model,Model_Packaging,Performance_InterfaceInterface,Performance_Capacity,Performance_NAND Flash Memory Type,Performance_Recording Technology,Performance_RPMRPM,Performance_CacheCache,Features_Features,Features_Usage,Dimensions_Form FactorForm Factor,Dimensions_Height (maximum),Dimensions_Width (maximum),Dimensions_Length (maximum),Additional Information_Date First Available,Performance_Average LatencyAverage Latency,Model_Part Number
https://www.newegg.com/seagate-barracuda-ne-st8000dm004-8tb-hard-drive-for-daily-computing-5400-rpm/p/N82E16822183793,119,HDD,#2 in Desktop Internal Hard Drives,Seagate,BarraCuda,NE-ST8000DM004,Bare Drive,SATA 6.0Gb/s,8TB,Hard Drive,SMR,5400 RPM,256MB,"Versatile HDDs for all your PC needs bring you industry-leading excellence in personal computing. For over 20 years the BarraCuda family has delivered super-reliable storage for the hard drive industry. Capacities up to 8TB for desktops, BarraCuda leads the market with the widest range of storage options available. Advanced Power modes help save energy without sacrificing performance. SATA 6Gb/s interface optimizes burst performance.",For Daily Computing,"3.5""",26.11mm,101.85mm,146.99mm,"April 08, 2019",,
https://www.newegg.com/seagate-barracuda-st24000dm001-24tb-for-daily-computing-7200-rpm/p/N82E16822185109,299,HDD,#1 in Desktop Internal Hard Drives,Seagate,BarraCuda,ST24000DM001,Bare Drive,SATA 6.0Gb/s,24TB,,CMR,7200 RPM,512MB,"Store more, compute faster, and do it confidently with the proven reliability of BarraCuda® internal hard drives. Build a powerhouse gaming computer or desktop setup with a variety of capacities and form factors. Use this go-to SATA hard drive solution for nearly every PC application—from music to video to photo editing to PC gaming. Confidently rely on internal hard drive technology backed by 20 years of innovation. Migrate and clone data from old drives with ease, using our free Seagate DiscWizard™ software tool. Enjoy long-term peace of mind with the included two-year limited warranty.",For Daily Computing,"3.5""",26.10mm,101.85mm,147.00mm,"March 20, 2025",,
https://www.newegg.com/seagate-barracuda-st20000dm001-20tb-for-daily-computing-7200-rpm/p/N82E16822185110,229,HDD,#4 in Desktop Internal Hard Drives,Seagate,BarraCuda,ST20000DM001,Bare Drive,SATA 6.0Gb/s,20TB,,CMR,7200 RPM,512MB,"Store more, compute faster, and do it confidently with the proven reliability of BarraCuda® internal hard drives. Build a powerhouse gaming computer or desktop setup with a variety of capacities and form factors. Use this go-to SATA hard drive solution for nearly every PC application—from music to video to photo editing to PC gaming. Confidently rely on internal hard drive technology backed by 20 years of innovation. Migrate and clone data from old drives with ease, using our free Seagate DiscWizard™ software tool. Enjoy long-term peace of mind with the included two-year limited warranty.",For Daily Computing,"3.5""",26.10mm,101.85mm,147.00mm,"March 26, 2025",,
https://www.newegg.com/seagate-barracuda-st2000dm008-2tb-for-daily-computing-7200-rpm/p/N82E16822184773,68,HDD,#5 in Desktop Internal Hard Drives,Seagate,BarraCuda,ST2000DM008,Bare Drive,SATA 6.0Gb/s,2TB,,,7200 RPM,256MB,"Versatile HDDs for all your PC needs bring you industry-leading excellence in personal computing. For over 20 years the BarraCuda family has delivered super-reliable storage for the hard drive industry. Capacities up to 8TB for desktops, BarraCuda leads the market with the widest range of storage options available. Advanced Power modes help save energy without sacrificing performance. SATA 6Gb/s interface optimizes burst performance.",For Daily Computing,"3.5""",20.20mm,101.85mm,146.99mm,"December 27, 2018",,
https://www.newegg.com/red-plus-wd101efbx-10tb/p/1B4-005X-001D5,199,HDD,#6 in Desktop Internal Hard Drives,WD,Red Plus,NE-WD101EFBX,,SATA 6.0Gb/s,10TB,Hard Drive,CMR,7200 RPM,256MB,"Tackle Intensity with WD Red Plus Packed with power to handle the small- to medium-sized business NAS environments and increased workloads for SOHO customers, WD Red Plus is ideal for archiving and sharing, as well as RAID array rebuilding on systems using ZFS and other file systems. Built and tested for up to 8-bay NAS systems, these drives give you the flexibility, versatility, and confidence in storing and sharing your precious home and work files. For Small or Medium Businesses Stream, backup, share, and organize your digital content with a NAS and WD Red Plus drives designed to effortlessly share content with the devices at your home or business. NASware 3.0 technology increases your drives' compatibility with your existing network and devices. For larger businesses with up to 24 bays, count on WD Red Pro drives to deliver exceptional performance. Exclusive NASware 3.0 Not just any drive will do. Get up to 112TB of capacity in your 8-bay NAS system and with Western Digital's exclusive NASware 3.0 technology, you can optimize each and every drive. Built into every WD Red Plus hard drive, NASware 3.0's advanced technology improves storage performance by increasing compatibility, integration, upgradeability, and reliability. Built for Optimum NAS Compatibility WD Red Plus drives with NASware technology takes the guesswork out of selecting a drive. Optimized for NAS systems, our unique algorithm balances performance and reliability in NAS and RAID environments. Simply put, a WD Red Plus drive is one of the most compatible drives available for NAS enclosures. But don't take our word for it. WD Red Plus drives are a reflection of extensive NAS partner technology engagement and compatibility-testing. WD Red Pro for Big Business If you're looking for heavy duty performance for NAS, WD Red Pro drives deliver exceptional performance for the medium to large business customer with extreme demands.",For NAS systems,"3.5""",26.10mm,101.60mm,147.00mm,"February 19, 2021",,
https://www.newegg.com/seagate-exos-x20-st20000nm007d-20tb-hard-drive-for-enterprise-storage-7200-rpm/p/N82E16822185011,379,HDD,#8 in Desktop Internal Hard Drives,Seagate,Exos X20,ST20000NM007D,,SATA 6.0Gb/s,20TB,Hard Drive,CMR,7200 RPM,256MB,"Market-leading 20TB HDD offering the highest capacity available for more petabytes per rack* Highly reliable performance with enhanced caching, making it the logical choice for cloud data center and massive scale-out data center applications Hyperscale SATA model tuned for large data transfers and low latency PowerBalance feature optimizes Watts/TB Maximize total cost of ownership savings through lower power and weight with helium sealed-drive design Proven helium side-sealing weld technology for added handling robustness and leak protection Digital environmental sensors to monitor internal drive conditions for optimal operation and performance Data protection and security- Seagate Secure features for safe, affordable, fast, and easy drive retirement * Compared to 18TB competitive product.",For Enterprise Storage,"3.5""",26.10mm,101.85mm,147.00mm,"December 23, 2021",4.16ms,
https://www.newegg.com/seagate-exos-x18-st16000nm000j-16tb/p/1Z4-002P-022S9,299,HDD,#15 in Desktop Internal Hard Drives,Seagate,Exos X18,ST16000NM000J,Bare Drive,SATA 6.0Gb/s,16TB,Hard Drive,,7200 RPM,256MB,"Market-leading 18TB HDD offering the highest capacity available for more petabytes per rack* Highly reliable performance with enhanced caching, making it the logical choice for cloud data centre and massive scale-out data centre applications Hyperscale SATA model tuned for large data transfers and low latency PowerBalance feature optimises Watts/TB Maximise total cost of ownership savings through lower power and weight with helium sealed-drive design Proven helium side-sealing weld technology for added handling robustness and leak protection Digital environmental sensors to monitor internal drive conditions for optimal operation and performance Data protection and security - Seagate Secure features for safe, affordable, fast and easy drive retirement * Compared to 14TB competitive product.",For Enterprise Storage,"3.5""",26.10mm,101.85mm,147.00mm,"June 24, 2021",4.16ms,
https://www.newegg.com/red-pro-wd161kfgx-16tb-enterprise-nas-hard-drives-7200-rpm/p/N82E16822234429,349,HDD,#31 in Desktop Internal Hard Drives,WD,Red Pro,WD161KFGX,,SATA 6.0Gb/s,16TB,,CMR,7200 RPM,512MB,"3D Active Balance Plus Our enhanced dual-plane balance control technology significantly improves the overall drive performance and reliability. Hard drives that are not properly balanced may cause excessive vibration and noise in a multi-drive system, reduce the hard drive life span, and degrade the performance over time. Error Recovery Prevention Built specifically for RAID and NAS environments, WD Red Pro drives come equipped with error recovery controls as part of NASware 3.0 technology to help reduce drive fallout in RAID applications. Extended Drive Testing A NAS environment that has up to 24 bays is very demanding on a hard drive with added vibration and heat. This is why every WD Red Pro drive is shipped with extended thermal cycle burn-in testing to help ensure each drive is tested for extended reliable operation. Desktop drives vs. WD Red Pro Do right by your NAS and choose the drive purpose-built for NAS with an array of features to help preserve your data and maintain optimum performance. Take the following into consideration when choosing a hard drive for your NAS: - Compatibility: Unlike desktop drives, these drives are specifically tested for compatibility with NAS systems for optimum performance. - Reliability: The always-on environment of a NAS or RAID is a hot one, and desktop drives aren't typically designed and tested under those conditions like WD Red Pro drives are. - Error Recovery Controls: WD Red Pro NAS hard drives are specifically designed with RAID error recovery control to help reduce failures within the NAS system. - Noise and Vibration Protection: Designed to operate solo, desktop drives typically offer little or no protection from the noise and vibration present in a multi-drive system. WD Red Pro drives are designed to thrive in multi-bay NAS system environments.",Enterprise NAS Hard Drives,"3.5""",26.10mm,101.60mm,147.00mm,"December 17, 2020",,
https://www.newegg.com/red-plus-wd60efpx-6tb-hard-drive-for-nas-systems-5400-rpm/p/N82E16822234534,139,HDD,#35 in Desktop Internal Hard Drives,WD,Red Plus,WD60EFPX,,SATA 6.0Gb/s,6TB,Hard Drive,CMR,5400 RPM,256MB,"Tackle Intensity with WD Red® Plus Packed with power to handle NAS environments in home offices up to medium-sized businesses, WD Red Plus is ideal for helping protect, archive, and share valuable data in NAS systems with up to 8 bays. WD Red Plus NAS drives give you the flexibility, versatility, and confidence you need for your important home and work files. For Small or Medium Businesses WD Red® Plus drives deliver the speed and capacity business customers require to store, protect, and share increasing amounts of data with a growing number of NAS users. For NAS systems with up to 8 bays, WD Red Plus drives deliver uncompromising performance and unwavering assurance backed by a 3-year limited warranty2. For Home Office and Power Users Whether you’re a power user looking to store high-resolution videos or running a home office with thousands of electronic documents, WD Red® Plus drives are designed to help you effortlessly organize, protect, and share your digital content. Exclusive NASware™ 3.0 Technology Built into every WD Red® Plus hard drive is Western Digital’s exclusive NASware 3.0 technology. NASware 3.0 is advanced technology that improves your NAS system by increasing compatibility, integration, upgradeability, and reliability. WD Red Plus drives with NASware technology take the guesswork out of selecting a drive for your NAS system. Built for Optimum NAS Compatibility Optimized for NAS systems, our unique algorithm balances performance and reliability in NAS and RAID environments. Simply put, a WD Red® Plus drive is one of the most compatible drives available for NAS enclosures. But don’t take our word for it. WD Red Plus drives are a reflection of extensive NAS partner technology engagement and compatibility testing.",For NAS systems,"3.5""",26.10mm,101.60mm,147.00mm,"October 29, 2022",,
https://www.newegg.com/seagate-skyhawk-ai-st16000ve002-16tb/p/1B4-00VK-00653,299,HDD,#36 in Desktop Internal Hard Drives,Seagate,SkyHawk AI,ST16000VE002,Bare Drive,SATA 6.0Gb/s,16TB,Hard Drive,,7200 RPM,256MB,"ImagePerfect AI firmware delivers zero dropped frames while supporting heavier workloads. Versatile capabilities intelligently adapt to the scale of your AI environment, supporting up to 64 HD video streams and 32 AI streams. Rest easy with three years of Rescue Data Recovery Services, offering an industry-leading 90% success rate against unexpected data loss from power outages, natural disasters, user error, viruses and more. SkyHawk Health Management actively helps protect your surveillance storage by focusing on prevention, intervention, and recovery options1 Included RAID RapidRebuild provides 3x faster volume rebuilds. Higher reliability with 2M hours MTBF and a 550 TB/year workload rate for more than 3x that of standard surveillance hard drives. Powerful processing to welcome workload challenges - SkyHawk AI supports video analysis and recording simultaneously with GPU analytics workloads. Enjoy consistent performance with built-in rotational vibration sensors providing reliable storage for NAS with little lag or downtime. Multi-bay support helps you meet your growing storage demands with up to 16+ bays.",For Video Surveillance,"3.5""",26.11mm,101.85mm,146.99mm,"March 25, 2025",,
