URL,Price,Component_Type,_Best Seller Ranking,Model_Brand,Model_Model,Details_Type,Details_Single/Redundant,Details_Maximum Power,Details_Main ConnectorMain Connector,Details_Output Current,Details_FansFans,Details_Protection,Features_Features,Dimensions & Weight_Dimensions,Additional Information_Date First Available,Details_Rack Units,Details_Color,Details_Output,Details_MTBFMTBF,Details_EfficiencyEfficiency,Details_Material,Details_Specification,Dimension & Weight_Unit Dimension,Dimension & Weight_Unit Weight,General_Brand,General_Series,General_Model,General_Part Number,Details_Maximum PowerMaximum Power,Details_Max PSU Length,Details_ModularModular,Details_Energy-Efficient,Details_Input Voltage,Details_Input Frequency Range,Details_Input Current,Details_Connectors,Dimension & Weight_Dimensions,Dimension & Weight_Weight,Package_Package Content,Details_Fans,Details_Modular,Details_PFCPFC,Details_+12V Rails+12V Rails,Details_SATA Power ConnectorSATA Power Connector,Details_Hold-up Time,Dimensions & Weight_Weight,Environmental_Humidity,Environmental_Temperature,Packaging_Package Contents,Model_Series,Details_PCI-Express ConnectorPCI-Express Connector,Details_Cable Spec,Details_Main Connector,Details_MTBF,Details_Efficiency,Details_SLISLI,Details_CrossFireCrossFire,Details_Over Voltage ProtectionOver Voltage Protection,Details_Overload ProtectionOverload Protection,Feature_Features,Details_PSU Noise LevelPSU Noise Level
https://www.newegg.com/istarusa-tc-1u30fx8-300w-flex-atx-atx12v/p/N82E16817147101,97,PSU,#15 in Server Power Supplies,iStarUSA,TC-1U30FX8,Flex ATX / ATX12V,Single,300W,20+4Pin,"+3.3V@16A, +5V@18A, +12V1@15A, +12V@15A, -12V@0.5A, +5Vsb@3.0A",1.0,Output Over Voltage Protection Short Circuit Protection Over Current Protection,"100% Hi-pot, ATE, and Burn-in Tested Output Over Voltage, Short Circuit, and Over Current Protection Low Noise and Ripple Thermal Fan Speed Control Function Compatible with European Union Directive 2002/95/EC (RoHS) Active Power Factor Correction (PFC) Meet EN61000-3-2 80 Plus Bronze High Efficiency","3.2"" x 1.6"" x 5.9""","August 13, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/tripp-lite-sr48side-rack-enclosure/p/N82E16816228153,139,PSU,,Tripp Lite,SR48SIDE,Rack Enclosure,,,,,,,Individual side panel for the standard depth SR48UB Can be used as replacements for an expansion cabinet (SR48UBEXP) where the needs have changed and a side panel is now wanted Includes a key locking latch,,"October 10, 2024",48U,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/p/N82E16817147137,190,PSU,#43 in Server Power Supplies,iStarUSA,TC-700PD8B,ATX12V / EPS12V,Single,700W,20+4Pin,,1,"Over Current, Over Voltage, and Short-Circuit",Connector: Main Connector: 20+4 pin 4+4pin 12V: 1 8pin EPS 12V: 1 6+2 Pin PCIE: 2 Molex: 5 SATA: 4 Floppy: 1 Complies with ATX/EPS 12V Standards Active PFC Circuit Full Range Input High Efficiency 80% above Front Load 80mm Fan.,"5.91"" x 3.39"" x 5.51""","October 21, 2013",,,"+3.3V@24A, +5V@30A, +12V1@16A, +12V2@16A, +12V3@16A, +12V4@16A, -12V@0.5A, +5Vsb@4A",">100,000 Hours",80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/p/1A0-002Y-01BZ0,52,PSU,,,,,,,,,,,,,"June 05, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/tripp-lite-srw26usdp-wall-mount-cabinet/p/N82E16816228218,"1,531",PSU,,Tripp Lite,SRW26USDP,Wall Mount Cabinet,,,,,,,"Package Contents: SmartRack 26U UPS-Depth Wall-Mount Rack Enclosure Cabinet, Hinged Back 48 x M6 Screws 48 x M6 Cage Nuts 48 x M6 Washers 48 x 12-24 Screws 2 x Keys Owner's Manual",,"February 09, 2019",26U,,,,,Steel,Form Factor:Wall Mountable,"Height:49.6"" x Width:23.6"" x Depth:25.5""",124.90 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/p/2AN-000V-00GD0,49,PSU,#24 in Server Power Supplies,HPE,,Cache Memory,,,,,,,,,"July 10, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/p/1A0-002Y-01KY0,54,PSU,,,,,,,,,,,,,"March 12, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/corsair-rmx-shift-series-atx-3-0-compatible-750-w-80-plus-gold-certified-power-supply-black-rm750/p/N82E16817139312,89,PSU,#2 in Power Supplies,,,ATX 3.0 Compatible,,,,,1 x 140 mm fluid dynamic bearing fan,,"Innovative positioning for the modular connections on the side of the PSU means easier access to connections and simpler, cleaner cable management. Fully modular, CORSAIR Type 5 Gen 1 micro-fit PSU cables, so you only connect the cables your system needs while taking up less space. A 140mm fluid dynamic bearing fan utilizes a specially calculated fan curve for high performance, low noise, and superior reliability. Compliant with the ATX 3.0 power standard from Intel®, supporting the PCIe Gen 5 platform and resisting transient power spikes. 100% Industrial-grade, 105°C-rated Japanese electrolytic capacitors deliver unwavering power and reliability. 80 PLUS Gold certified for up to 90% efficiency and Cybenetics-certified for lower power consumption, less noise, and cooler temperatures. Supports Zero RPM fan mode for near-silent operation at low to medium loads. Resonant LLC Topology with DC-to-DC Conversion provides clean, consistent power and enables use of more energy-efficient sleep states.",,"May 24, 2023",,Black,"+3.3V@20A, +5V@20A, +12V@62.5A, +5VSB@3A",,,,,,,CORSAIR,RMx SHIFT Series™,RM750,CP-9020251-NA,750 W,160 mm,Full Modular,80 PLUS GOLD Certified,100 - 240 V,47 - 63 Hz,10A-5A,1 x ATX CABLE 24-PIN (24) 2 x EPS/ATX12V CABLE 8-PIN (4+4) 1 x  PCIe CABLE (12+4)-PIN(12+4) 1 x PCIe CABLE 8-PIN (6+2)X2 1 x PCIe CABLE 8-PIN (6+2) 3 x SATA CABLE (4 SATA - (right angle)) 1 x PATA CABLE (4-PIN),"6.3""*5.91""*5.08""",2.5 lbs,"1x 24-pin ATX (24-pin) Connector 2x ATX 12V/EPS12V (4+4-pin) Connector 1x PCIe 5 (12+4-pin) 12VHPWR Connector 2x PCIe (6+2-pin, dual) Connectors 1x PCIe (6+2-pin) Connector 12x SATA (Straight) Connectors 4x PATA Connectors",,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/corsair-rmx-series-atx-3-1-compatible-850-w-cybenetics-gold-power-supply-black-rm850e/p/N82E16817139336,125,PSU,#10 in Power Supplies,,,ATX 3.1 Compatible,,,24Pin,,1 x 120 mm,,,,"January 17, 2025",,Black,,,,,,,,CORSAIR,RMx Series,RM850e,CP-9020296-NA,850 W,140 mm,Full Modular,Cybenetics Gold,100 - 240 V,47 - 63 Hz,"+3.3V@20A, +5V@20A, +12V@70.8A, +5Vsb@3A",1 x 12VHPWR (12+4) PCIe / 1 x 24 pin ATX / 1 x 8 pin (6+2) PCIe / 6 x SATA,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newegg.com/corsair-atx-1500-w-80-plus-platinum-certified-power-supplies-cp-9020261-na/p/N82E16817139320,289,PSU,#13 in Power Supplies,,,ATX,,1500 W,,,,,"CORSAIR HXi Series Fully Modular Ultra-Low Noise Power Supplies deliver exceptional 80 PLUS Platinum efficient power and low-noise fluid dynamic bearing fan performance. ATX 3.0 and PCIe 5.0 compliance, HXi PSUs have every connection needed to power today’s most demanding PC upgrades. Powerful CORSAIR iCUE software enables custom fan curves, monitoring and adjusting power settings, and more thanks to a fully digital platform. Japanese 105°C-rated electrolytic capacitors deliver long life and reliability, backed by a ten year warranty. Wake your computer faster and consume less power with Modern Standby sleep mode. Zero RPM mode ensures near-silent operation at low and medium loads. The HXi Series puts platinum power at your command.",,"September 18, 2023",,,"+3.3V@25A, +5V@25A, +12V@125A, -12V@0.3A, +5VSB@3.5A",,,,,,,CORSAIR,,CP-9020261-NA,,,200 mm,,80 PLUS PLATINUM Certified,100 - 240 V,47 - 63 Hz,15A-9A,1 x ATX CABLE 24-PIN (24) 2 x EPS/ATX12V CABLE 8-PIN (4+4) 3 x PCIe CABLE 8-PIN (6+2) 4 x PCIe CABLE 8-PIN (6+2) 1 x PCIe CABLE 16PIN (12+4) 8 x SATA CABLE (4 SATA - Straight)) 8 x PATA CABLE (4-PIN) 1 x USB(TYPE C) to 10-1PIN,200 x 150 x 86 mm,2.4kg,HXi Series ATX Power Supply | Power cord | Mounting screws | Cable ties | User manual,1 x 140 mm  Fluid Dynamic Bearing (FDB) Fan,Full Modular,,,,,,,,,,,,,,,,,,,,
