URL,Price,Component_Type,_Best Seller Ranking,Model_Brand,Model_Series,Model_Name,Details_Capacity,Details_Type,Details_SpeedSpeed,Details_CAS LatencyCAS Latency,Details_TimingTiming,Details_VoltageVoltage,Details_Multi-channel Kit,Details_BIOS/Performance ProfileBIOS/Performance Profile,Details_Color,Details_Heat Spreader,Details_Features,Details_Recommend Use,Details_LED Color,Additional Information_Date First Available,Model_Part Number,Details_ECCECC,Details_Buffered/RegisteredBuffered/Registered,Details_Speed,Details_CAS Latency,Details_Timing,Details_Voltage,Details_ECC,Details_Buffered/Registered,Details_BIOS/Performance Profile
https://www.newegg.com/g-skill-64gb-ddr5-6000/p/N82E16820374445,209,RAM,#7 in Desktop Memory,G.SKILL,Trident Z5 Neo RGB Series,F5-6000J3040G32GX2-TZ5NR,64GB (2 x 32GB),288-Pin PC RAM,DDR5 6000 (PC5 48000),CL30,30-40-40-96,1.40V,Dual Channel Kit,AMD EXPO,Black,Yes,"Extreme performance DDR5 memory designed for gaming and PC enthusiasts Customizable RGB lighting support AMD EXPO Support Do not mix memory kits. Memory kits are sold in matched kits that are designed to run together as a set. Mixing memory kits will result in stability issues or system failure. Memory kits will boot at the SPD speed at default BIOS settings with compatible hardware. For memory kits with AMD EXPO, enable AMD EXPO profile in BIOS to reach the rated potential XMP overclock speed of the memory kit, subject to the use of compatible hardware. Reaching the rated AMD EXPO overclock speed and system stability will depend on the compatibility and capability of the motherboard and CPU used. Usage in any manner inconsistent with manufacturer specifications, warnings, designs, or recommendations will result lower speeds, system instability, or damage to the system or its components",AMD Ryzen Compatible / High Performance or Gaming Memory,RGB,"October 19, 2022",,,,,,,,,,
https://www.newegg.com/corsair-32gb-ddr5-6000/p/N82E16820236991,94,RAM,#2 in Desktop Memory,CORSAIR,Vengeance RGB,CMH32GX5M2E6000C36,32GB (2 x 16GB),288-Pin PC RAM,DDR5 6000 (PC5 48000),CL36,36-44-44-96,1.40V,Dual Channel Kit,Intel XMP 3.0,Black,Yes,"Welcome to the Cutting-Edge of Performance: Push the limits of your system like never before with CORSAIR DDR5 memory, unlocking even faster frequencies, greater capacities, and higher CPU processing. Dynamic Ten-Zone RGB Lighting: Illuminate your system with ten individually addressable, ultra-bright RGB LEDs per module, encased in a panoramic light bar for vivid RGB lighting from any viewing angle. Create and Customize: Choose from dozens of preset lighting profiles, or create your own in iCUE. Custom Intel® XMP 3.0 Profiles: Customize and save your own XMP profiles via iCUE to tailor performance by app or task for greater efficiency. Maximum Bandwidth and Tight Response Times: Optimized for peak performance on the latest Intel® DDR5 motherboards. Custom Performance PCB: Provides the highest signal quality for the greatest level of performance and stability. Tightly Screened Memory: Carefully screened memory chips for extended overclocking potential. Onboard Voltage Regulation: Enables easier, more finely-tuned, and more stable overclocking through CORSAIR iCUE software than previous generation motherboard control. Powerful CORSAIR iCUE Software: Dynamic RGB lighting control synchronized across your entire iCUE setup, real-time temperature and frequency readings, onboard voltage regulation, and custom XMP profiles. Stylish Solid Aluminum Heatspreader: Efficiently conducts heat away from your memory, with refined VENGEANCE styling to fit the look of modern systems.",Intel 600 Series and 700 series,RGB,"April 07, 2023",CMH32GX5M2E6000C36,,,,,,,,,
https://www.newegg.com/corsair-32gb-ddr5-6400/p/N82E16820982185,104,RAM,#1 in Desktop Memory,CORSAIR,Vengeance RGB,CMH32GX5M2N6400C36,32GB (2 x 16GB),288-Pin PC RAM,DDR5 6400 (PC5 51200),CL36,36-48-48-104,1.35V,Dual Channel Kit,AMD EXPO / Intel XMP 3.0 / Intel XMP 3.0 / AMD EXPO,Black,Yes,"CORSAIR VENGEANCE RGB DDR5 memory delivers DDR5 performance, higher frequencies, and greater capacities optimized for Intel® motherboards while lighting up your PC with dynamic, individually addressable ten-zone RGB lighting. Tightly screened high-frequency memory chips enable faster processing, rendering, and buffering than ever, with onboard voltage regulation for easy, finely controlled overclocking. Take control with CORSAIR iCUE software and enable RGB lighting customization, real-time frequency monitoring, onboard voltage regulation, and Intel XMP 3.0 profile customization. A custom PCB provides superb signal quality for high performance and stability on the latest Intel DDR5 motherboards. For cutting-edge DDR5 performance with mesmerizing RGB lighting, VENGEANCE RGB DDR5 lights the way.",AMD &amp; Intel Compatible / AMD 500 Series / AMD 600 Series / AMD B550 / AMD B650 / High Performance or Gaming Memory / Intel 600 Series / Intel 700 Series / Intel B660 / Intel B670 / Intel B760 / Intel Compatible / Intel Z690 / Intel Z790,RGB,"June 20, 2024",,,,,,,,,,
https://www.newegg.com/g-skill-64gb-ddr5-6000/p/N82E16820374445,209,RAM,#7 in Desktop Memory,G.SKILL,Trident Z5 Neo RGB Series,F5-6000J3040G32GX2-TZ5NR,64GB (2 x 32GB),288-Pin PC RAM,DDR5 6000 (PC5 48000),CL30,30-40-40-96,1.40V,Dual Channel Kit,AMD EXPO,Black,Yes,"Extreme performance DDR5 memory designed for gaming and PC enthusiasts Customizable RGB lighting support AMD EXPO Support Do not mix memory kits. Memory kits are sold in matched kits that are designed to run together as a set. Mixing memory kits will result in stability issues or system failure. Memory kits will boot at the SPD speed at default BIOS settings with compatible hardware. For memory kits with AMD EXPO, enable AMD EXPO profile in BIOS to reach the rated potential XMP overclock speed of the memory kit, subject to the use of compatible hardware. Reaching the rated AMD EXPO overclock speed and system stability will depend on the compatibility and capability of the motherboard and CPU used. Usage in any manner inconsistent with manufacturer specifications, warnings, designs, or recommendations will result lower speeds, system instability, or damage to the system or its components",AMD Ryzen Compatible / High Performance or Gaming Memory,RGB,"October 19, 2022",,,,,,,,,,
https://www.newegg.com/g-skill-32gb-ddr5-6000/p/N82E16820374427,117,RAM,#11 in Desktop Memory,G.SKILL,Trident Z5 Neo RGB Series,F5-6000J3038F16GX2-TZ5NR,32GB (2 x 16GB),288-Pin PC RAM,DDR5 6000 (PC5 48000),CL30,30-38-38-96,1.35V,Dual Channel Kit,AMD EXPO,Black,Yes,"Extreme performance DDR5 memory designed for gaming and PC enthusiasts Customizable RGB lighting support AMD EXPO Support Do not mix memory kits. Memory kits are sold in matched kits that are designed to run together as a set. Mixing memory kits will result in stability issues or system failure. Memory kits will boot at the SPD speed at default BIOS settings with compatible hardware. For memory kits with AMD EXPO, enable AMD EXPO profile in BIOS to reach the rated potential XMP overclock speed of the memory kit, subject to the use of compatible hardware. Reaching the rated AMD EXPO overclock speed and system stability will depend on the compatibility and capability of the motherboard and CPU used. Usage in any manner inconsistent with manufacturer specifications, warnings, designs, or recommendations will result lower speeds, system instability, or damage to the system or its components.",AMD 600 Series / AMD 800 Series / AMD B650 / AMD B850 / AMD Ryzen Compatible / AMD X670 / AMD X870 / High Performance or Gaming Memory,RGB,"September 16, 2022",,No,Unbuffered / Unregistered,,,,,,,
https://www.newegg.com/g-skill-32gb-ddr4-3200/p/N82E16820232091,51,RAM,#4 in Desktop Memory,G.SKILL,Ripjaws V Series,F4-3200C16D-32GVK,32GB (2 x 16GB),288-Pin PC RAM,DDR4 3200 (PC4 25600),CL16,16-18-18-38,1.35V,Dual Channel Kit,Intel XMP 2.0,Black,Yes,"Overclock performance DDR4 memory designed for compatible Intel platforms. Sleek and stylish aluminum heatspreader design. Intel XMP 2.0 support. Do not mix memory kits. Memory kits are sold in matched kits that are designed to run together as a set. Mixing memory kits will result in stability issues or system failure. Memory kits will boot at the SPD speed at default BIOS settings with compatible hardware. For memory kits with XMP, enable XMP/DOCP/A-XMP in BIOS to reach the rated potential XMP overclock speed of the memory kit, subject to the use of compatible hardware. Reaching the rated XMP overclock speed and system stability will depend on the compatibility and capability of the motherboard and CPU used. Usage in any manner inconsistent with manufacturer specifications, warnings, designs, or recommendations will result lower speeds, system instability, or damage to the system or its components. Refer to the G.SKILL memory kit QVL on the G.SKILL website to check motherboard compatibility.",AMD X570 / X470 / B550 Intel Z790 DDR4 / Z690 DDR4 / Z590 / Z490 / Z390 / Z370 / Z270,,"October 19, 2015",,No,Unbuffered,,,,,,,
https://www.newegg.com/g-skill-32gb-ddr5-6000/p/N82E16820374614,149,RAM,#26 in Desktop Memory,G.SKILL,Trident Z5 Royal Series,F5-6000J2836G16GX2-TR5NS,32GB (2 x 16GB),288-Pin PC RAM,DDR5 6000 (PC5 48000),CL28,28-36-36-96,1.40V,Dual Channel Kit,AMD EXPO,Silver,Yes,"Trident Z5 Royal Neo series are high overclock performance DDR5 memory kits, featuring a patented crystalline-design light bar for a magnificent display of RGB lighting, a CNC-cut aluminum heatspreader with a mirrored finish in gold or silver colors, and supports AMD EXPO memory overclock profile, designed for high-performance PC enthusiasts and gamers. • Flagship overclock performance DDR5 memory • Patented crystalline-designed light bar • CNC-cut aluminum heatspreaders with mirrored-finish in gold or silver colors • Customizable RGB lighting support • AMD EXPO Support • Do not mix memory kits. Memory kits are sold in matched kits that are designed to run together as a set. Mixing memory kits will result in stability issues or system failure. • Memory kits will boot at the SPD speed at default BIOS settings with compatible hardware. • For memory kits with EXPO, enable EXPO profile in BIOS to reach up to the rated potential EXPO overclock speed of the memory kit, subject to the use of compatible hardware. • Reaching the rated EXPO overclock speed and system stability will depend on the compatibility and capability of the motherboard and CPU used. • Usage in any manner inconsistent with manufacturer specifications, warnings, designs, or recommendations will result lower speeds, system instability, or damage to the system or its components.",AMD 600 Series / AMD 800 Series / AMD B650 / AMD B850 / AMD Ryzen Compatible / AMD X670 / AMD X870 / High Performance or Gaming Memory,RGB,"August 15, 2024",,No,,,,,,,,
https://www.newegg.com/team-group-32gb-ddr5-6000/p/N82E16820985077,92,RAM,#10 in Desktop Memory,Team Group,T-CREATE EXPERT,CTCED532G6000HC30DC01,32GB (2 x 16GB),288-Pin PC RAM,DDR5 6000 (PC5 48000),CL30,30-36-36-76,1.35V,Dual Channel Kit,Intel XMP 3.0 / AMD EXPO,Black,Yes,,Intel: 700 series and 600 series,None,"July 28, 2023",CTCED532G6000HC30DC01,No,Unbuffered / Unregistered,,,,,,,
https://www.newegg.com/corsair-64gb-ddr4-3200/p/N82E16820236586,92,RAM,#9 in Desktop Memory,CORSAIR,Vengeance LPX,CMK64GX4M2E3200C16,64GB (2 x 32GB),288-Pin PC RAM,DDR4 3200 (PC4 25600),CL16,16-20-20-38,1.35V,,Intel XMP 2.0,Black,Anodized Aluminum,"Designed for high-performance overclocking Each VENGEANCE LPX module is built with a pure aluminum heatspreader for faster heat dissipation and cooler operation; and the custom performance PCB helps manage heat and provides superior overclocking headroom. Each IC is individually screened for performance potential. Designed for great looks Available in multiple colors to match your motherboard, your components, or just your style. Performance and Compatibility VENGEANCE LPX is optimized and compatibility tested for the latest Intel DDR4 motherboards and offers higher frequencies, greater bandwidth, and lower power consumption. Low-profile heatspreader design The VENGEANCE LPX module height is carefully designed to fit smaller spaces.",AMD 400 Series / AMD 500 Series / AMD X570 / Intel Z390,,"September 30, 2019",,,,,,,,,,
https://www.newegg.com/g-skill-32gb-ddr4-3600/p/N82E16820232920,69,RAM,#17 in Desktop Memory,G.SKILL,TridentZ RGB Series,F4-3600C18D-32GTZR,32GB (2 x 16GB),288-Pin PC RAM,DDR4 3600 (PC4 28800),CL18,18-22-22-42,1.35V,Dual Channel Kit,Intel XMP 2.0,Black,Yes,"Sleek aluminum heatspreader design. Customizable RGB lighting support. Intel XMP 2.0 Support. Do not mix memory kits. Memory kits are sold in matched kits that are designed to run together as a set. Mixing memory kits will result in stability issues or system failure. Memory kits will boot at the SPD speed at default BIOS settings with compatible hardware. For memory kits with XMP, enable XMP/DOCP/A-XMP in BIOS to reach the rated potential XMP overclock speed of the memory kit, subject to the use of compatible hardware. Reaching the rated XMP overclock speed and system stability will depend on the compatibility and capability of the motherboard and CPU used. Usage in any manner inconsistent with manufacturer specifications, warnings, designs, or recommendations will result lower speeds, system instability, or damage to the system or its components. Refer to the G.SKILL memory kit QVL on the G.SKILL website to check motherboard compatibility.",AMD X570 / B550 Intel Z790 DDR4 / Z690 DDR4 / Z590 / Z490 / Z390 / Z370,RGB,"October 14, 2019",,No,Unbuffered,,,,,,,
