URL,Price,Component_Type,_Best Seller Ranking,Model_Brand,Model_Series,Model_Name,Model_Device Type,Model_Used For,Details_Form FactorForm Factor,Details_Capacity,Details_Interface,Details_Protocol,Details_Encryption,Performance_Max Sequential Read,Performance_Max Sequential Write,Performance_4KB Random Read,Performance_4KB Random Write,Performance_Terabytes Written (TBW),Environmental_Power Consumption (Active),Additional Information_Date First Available,Model_Part Number,Details_Memory ComponentsMemory Components,Performance_HeatSink,Performance_MTTF,Features_Features,Environmental_Operating Temperature,Environmental_Storage Temperature,Environmental_Max Shock Resistance,Dimensions & Weight_Height,Dimensions & Weight_Width,Dimensions & Weight_Depth,Dimensions & Weight_Weight,Details_Controller,Performance_MTBFMTBF,Package Content_Package Content,Details_Cache,Environmental_Power Consumption (Idle),Environmental_Max Vibration Resistance,Environmental_Operating Humidity
https://www.newegg.com/samsung-2tb-990-evo-plus-nvme-2-0/p/N82E16820147900,139,SSD,#2 in Internal SSDs,SAMSUNG,990 EVO Plus,MZ-V9S2T0B/AM,Internal Solid State Drive (SSD),Consumer,M.2 2280,2TB,PCI-Express 4.0 x4 / PCI-Express 5.0 x2,NVMe 2.0,"Class 0 (AES 256) , TCG/Opal v2.0, MS eDrive (IEEE1667)",Up to 7250 MBps,Up to 6300 MBps,"Up to 1,000,000 IOPS","Up to 1,350,000 IOPS",1200TB,4.6W / 4.2W (Read / Write),"September 25, 2024",,,,,,,,,,,,,,,,,,,
https://www.newegg.com/samsung-4tb-990-pro-nvme-2-0/p/N82E16820147879,319,SSD,#6 in Internal SSDs,SAMSUNG,990 PRO,Samsung 990 PRO 4TB,Internal Solid State Drive (SSD),Consumer,M.2 2280,4TB,PCI-Express 4.0 x4,NVMe 2.0,,Up to 7450 MBps,Up to 6900 MBps,,,,,"September 28, 2023",MZ-V9P4T0B/AM,Samsung V-NAND TLC,without HeatSink,,,,,,,,,,,,,,,,
https://www.newegg.com/samsung-4tb-990-evo-plus-nvme-2-0/p/N82E16820147901,249,SSD,#7 in Internal SSDs,SAMSUNG,990 EVO Plus,MZ-V9S4T0B/AM,Internal Solid State Drive (SSD),Consumer,M.2 2280,4TB,PCI-Express 4.0 x4 / PCI-Express 5.0 x2,NVMe 2.0,"Class 0 (AES 256) , TCG/Opal v2.0, MS eDrive (IEEE1667)",Up to 7250 MBps,Up to 6300 MBps,"Up to 1,050,000 IOPS","Up to 1,400,000 IOPS",2400TB,5.5W / 4.8W (Read / Write),"September 25, 2024",,,,,,,,,,,,,,,,,,,
https://www.newegg.com/western-digital-1tb-black-sn770-nvme/p/N82E16820250217,74,SSD,#16 in Internal SSDs,Western Digital,BLACK SN770 NVMe,WDS100T3X0E,Internal Solid State Drive (SSD),Consumer,M.2 2280,1TB,"PCIe Gen4 16GT/s, up to 4 Lanes",NVMe,,Up to 5150 MBps,Up to 4900 MBps,"Up to 740,000 IOPS","Up to 800,000 IOPS",600 TBW,65mW,"January 28, 2022",,TLC,,1.75 Million hours,"First into the Action Get into the match fast as you zoom past load times with blazing speeds of up to 5,150MB/s (1TB and 2TB models). Smoother, Faster Gaming Improve in-game responsiveness and streaming with the PCIe Gen4 interface for a performance boost you can see and feel. The interface is compatible with leading CPU and motherboard platforms and backwards-compatible with PCIe Gen3. Store More Available in capacities up to 2TB, the WD_BLACK SN770 NVMe SSD gives you tons of storage for your latest games with space left over for future updates and downloadable content. Turbocharge Your Laptop Get up to 20% more power efficiency at maximum speed over the previous generation (1TB model) for an even better overall gaming experience on your portable rig. Game Longer and Better Optimize peak performance in gaming mode and monitor your drive's health with the WD_BLACK Dashboard so you can game with confidence.",32ºF to 185ºF (0ºC to 85ºC),-40ºF to 185ºF (-40ºC to 85ºC),1500G,2.38mm,22 +/- 0.15mm,80 +/- 0.15mm,5.5g +/- 0.5g,,,,,,,
https://www.newegg.com/sk-hynix-2tb/p/0D9-003U-00ME7,149,SSD,#18 in Internal SSDs,SK hynix,Platinum P41,,Internal Solid State Drive (SSD),Consumer,M.2 2280,2TB,PCIe 4.0 NVMe,,"AES 256-bit Encryption, TCG Pyrite Supported","Up to 7,000 MB/s","Up to 6,500 MB/s","Up to 1,400K IOPS","Up to 1,300K IOPS","Up to 1,200 TBW",,"February 23, 2025",,SK hynix 176L 3D TLC NAND Flash,,,,,,,22.00mm,80.00mm,,,SK hynix Aries,1.5M hours,SSD,,,,
https://www.newegg.com/crucial-1tb-p3-plus-nvme/p/N82E16820156300,63,SSD,#20 in Internal SSDs,Crucial,P3 Plus,CT1000P3PSSD8,Internal Solid State Drive (SSD),Consumer,M.2 2280,1TB,PCI-Express 4.0 x4 NVMe,NVMe,,Up to 5000 MBps,Up to 3600 MBps,"Up to 650,000 IOPS","Up to 800,000 IOPS",,,"November 21, 2023",,3D NAND,,,,,,,,,,,,,,,,,
https://www.newegg.com/samsung-2tb-870-evo-series-sata/p/N82E16820147794,158,SSD,#21 in Internal SSDs,SAMSUNG,870 EVO Series,MZ-77E2T0B/AM,Internal Solid State Drive (SSD),Consumer,"2.5""",2TB,SATA III,SATA,"Class 0 (AES 256) TCG/Opal v2.0, MS eDrive (IEEE1667)",Up to 560 MBps,Up to 530 MBps,,,1200TB,Average: 2.5W Maximum: 4.5W (Burst mode),"February 08, 2021",,V-NAND,,,"THE SSD ALL-STAR - The latest 870 EVO has indisputable performance, reliability and compatibility built upon Samsung's pioneering technology. EXCELLENCE IN PERFORMANCE - Enjoy professional-level SSD performance with 870 EVO, which maximizes the SATA interface limit to 560/530 MB/s sequential speeds, accelerates write speeds and maintains long-term high performance with a larger variable buffer. INDUSTRY-DEFINING RELIABILITY - Meet the demands of every task - from everyday computing to 8K video processing, with up to 2,400 TBW. MORE COMPATIBLE THAN EVER - 870 EVO has been compatibility tested for major host systems and applications, including chipsets, motherboards, NAS, and video recording devices. UPGRADE WITH EASE - Simply plug 870 EVO into the standard 2.5-inch SATA form factor on your desktop PC or laptop and let the renewed migration software takes care of the rest. SAMSUNG MAGICIAN SOFTWARE - Make your drive work smoothly with enhanced Samsung Magician 6 software that helps you easily manage your drive, keep up with the latest updates, monitor the drive's health and status, or even enhance its performance.",,,"1,500G & 0.5 ms (Half sine)",7.00mm,70.00mm,100.00mm,86.18g,,"1,500,000 hours",,Samsung 2GB Low Power DDR4 SDRAM,Max. 35 mW,,
https://www.newegg.com/crucial-1tb-p310-nvme/p/N82E16820156412,74,SSD,#24 in Internal SSDs,Crucial,P310,CT1000P310SSD8,Internal Solid State Drive (SSD),Consumer,M.2 2280,1TB,PCI-Express 4.0 x4 NVMe,NVMe 2.0,,Up to 7100 MBps,Up to 6000 MBps,,,,,"February 14, 2025",CT1000P310SSD8,3D NAND,without HeatSink,,"SHIFT UP TO GEN4: Next-level Gen4 performance at up to 7,100MB/s — Speed up your bootups, file transfers, and game loads without compromising on quality EXTEND LIFECYCLE AND STORAGE: Increase your device’s capacity and lifecycle to store more of what matters FASTER GAMEPLAY AND BOOTUPS: Nearly 20% faster performance in bootups and gameplay BETTER PRODUCTIVITY: Up to 20% faster performance in real world tasks compared to other Gen4 SSDs when booting Windows, starting applications like Adobe Photoshop and Illustrator, and working in applications like Microsoft Excel and PowerPoint POWER EFFICIENCY: Provides up to 40% better performance-to-power ratio than our previous Gen4 SSD so you can get more done with the same battery life",,,,,,,,,,,,,,
https://www.newegg.com/team-group-2tb-t-force-vulcan-z-sata/p/N82E16820331861,97,SSD,#25 in Internal SSDs,Team Group,T-FORCE VULCAN Z,T253TZ002T0C101,Internal Solid State Drive (SSD),Consumer,"2.5""",2TB,SATA III,SATA,,Up to 550 MBps,Up to 500 MBps,,,1600TB,,"August 10, 2022",,3D NAND,,,"3D NAND best upgrade option for gaming Enhanced performance for seamless cutscenes Smart optimization to ensure reliable performance Shock-resistant, vibration-resistant, and reduced noise interference",0°C ~ +70°C,,1500G/0.5ms,7.00mm,69.90mm,100.00mm,45.00g,,"1,000,000 hours",,,,20G (non-operating),
https://www.newegg.com/samsung-4tb-9100-pro-nvme-2-0/p/N82E16820147904,479,SSD,#28 in Internal SSDs,SAMSUNG,9100 PRO,MZ-VAP4T0B/AM,Internal Solid State Drive (SSD),Consumer,M.2 2280,4TB,PCI-Express 5.0 x4,NVMe 2.0,"Class 0 (AES 256), TCG/Opal v2.0, MS eDrive (IEEE1667)",Up to 14800 MBps,Up to 13400 MBps,"Up to 2,200,000 IOPS","Up to 2,600,000 IOPS",2400TB,9.0W / 8.2W (Read/Write),"March 18, 2025",,Samsung V NAND TLC (V8),without HeatSink,,,,,,2.38mm,22.15mm,80.15mm,9g,In-House Controller,,,4GB LPDDR4X,5.7mW Device Sleep (L1.2),,
https://www.newegg.com/kingspec-2tb-xf-series/p/0D9-000D-00167,95,SSD,#29 in Internal SSDs,KingSpec,,XF-2TB-2280,Internal Solid State Drive (SSD),Consumer,M.2 2280,2TB,PCI-Express 4.0 x4,,,Up to 4800 MBps,Up to 4500 MBps,,,,,"April 18, 2023",XF-2TB-2280,,,,,,,,,,,,,,,,,,
https://www.newegg.com/team-group-1tb-mp44l-nvme-1-4/p/N82E16820331919,59,SSD,#32 in Internal SSDs,Team Group,MP44L,TM8FPK001T0C101,Internal Solid State Drive (SSD),Consumer,M.2 2280,1TB,PCIe 4.0 x4 with NVMe 1.4,NVMe 1.4,,Up to 5000 MBps,Up to 4500 MBps,"Up to 525,000 IOPS","Up to 550,000 IOPS",600TB,,"September 22, 2022",,TLC,,,"TEAMGROUP MP44L M.2 PCIe SSD adopts the PCIe Gen4x4 interface. Compared with the PCIe Gen3, the performance is more than doubled. The read/write speeds reach up to 5,000 / 4,500MB/s, drastically improving work efficiency. It is the first product to incorporate a heat sink label using a unique graphene coating on aluminum foil to further upgrade heat dissipation performance. It supports the S.M.A.R.T. monitoring software, Windows TRIM optimization option, and LDPC technology simultaneously.",0°C ~ +70°C,-40°C ~ +85°C,"1,500G/0.5ms",2.25mm,22mm,80mm,7g,,"1,500,000 hours",,,,"80Hz~2,000Hz/20G",RH 90% under 40°C (operational)
https://www.newegg.com/crucial-2tb-p3-plus-nvme/p/N82E16820156301,122,SSD,#33 in Internal SSDs,Crucial,P3 Plus,CT2000P3PSSD8,Internal Solid State Drive (SSD),Consumer,M.2 2280,2TB,PCI-Express 4.0 x4 NVMe,NVMe,,Up to 5000 MBps,Up to 4200 MBps,"Up to 680,000 IOPS","Up to 850,000 IOPS",,,"October 24, 2022",,3D NAND,,,,,,,,,,,,,,,,,
https://www.newegg.com/samsung-2tb-990-evo-nvme-2-0/p/N82E16820147887,129,SSD,#36 in Internal SSDs,SAMSUNG,990 EVO,,Internal Solid State Drive (SSD),Consumer,M.2 2280,2TB,PCI-Express 4.0 x4 / PCI-Express 5.0 x2,NVMe 2.0,,Up to 5000 MBps,Up to 4200 MBps,,,,,"January 23, 2024",MZ-V9E2T0B/AM,V-NAND TLC,,,,,,,,,,,,,,,,,
https://www.newegg.com/crucial-2tb-p310-nvme/p/N82E16820156413,128,SSD,#38 in Internal SSDs,Crucial,P310,CT2000P310SSD8,Internal Solid State Drive (SSD),Consumer,M.2 2280,2TB,PCI-Express 4.0 x4 NVMe,NVMe 2.0,,Up to 7100 MBps,Up to 6000 MBps,,,,,"February 14, 2025",CT2000P310SSD8,3D NAND,without HeatSink,,"SHIFT UP TO GEN4: Next-level Gen4 performance at up to 7,100MB/s — Speed up your bootups, file transfers, and game loads without compromising on quality EXTEND LIFECYCLE AND STORAGE: Increase your device’s capacity and lifecycle to store more of what matters FASTER GAMEPLAY AND BOOTUPS: Nearly 20% faster performance in bootups and gameplay BETTER PRODUCTIVITY: Up to 20% faster performance in real world tasks compared to other Gen4 SSDs when booting Windows, starting applications like Adobe Photoshop and Illustrator, and working in applications like Microsoft Excel and PowerPoint POWER EFFICIENCY: Provides up to 40% better performance-to-power ratio than our previous Gen4 SSD so you can get more done with the same battery life",,,,,,,,,,,,,,
https://www.newegg.com/samsung-2tb-990-pro-nvme-2-0/p/N82E16820147861,169,SSD,#1 in Internal SSDs,SAMSUNG,990 PRO,Samsung 990 PRO 2TB,Internal Solid State Drive (SSD),Consumer,M.2 2280,2TB,"PCI-Express Gen 4.0 x4, NVMe 2.0",NVMe 2.0,AES 256-bit Encryption (Class 0) TCG/Opal IEEE1667 (Encrypted drive),Up to 7450 MBps,Up to 6900 MBps,,,,,"October 03, 2022",MZ-V9P2T0B/AM,V7 V-NAND 3bit MLC,,,,,,,,,,,Samsung,,,,,,
